BAC Date,C Date,GS Date,JPM Date,MS Date,WFC Date,BAC,BAC Adj Close,BAC Close,BAC High,BAC Low,BAC Open,BAC Volume,Bank Ticker Stock Info,C,C Adj Close,C Close,C High,C Low,C Open,C Volume,Correlation 1-2,Correlation 1-3,Correlation 1-4,Correlation 1-5,Correlation 1-6,Correlation 2-3,Correlation 2-4,Correlation 2-5,Correlation 2-6,Correlation 3-4,Correlation 3-5,Correlation 3-6,Correlation 4-5,Correlation 4-6,Correlation 5-6,GS,GS Adj Close,GS Close,GS High,GS Low,GS Open,GS Volume,JPM,JPM Adj Close,JPM Close,JPM High,JPM Low,JPM Open,JPM Volume,MS,MS Adj Close,MS Close,MS High,MS Low,MS Open,MS Volume,WFC,WFC Adj Close,WFC Close,WFC High,WFC Low,WFC Open,WFC Volume
15-02-2006,15-02-2006,15-02-2006,15-02-2006,15-02-2006,15-02-2006,12818709.76,32.80049896,44.36000061,44.59999847,43.93000031,44.0699997,12818500,30,1702205.111,359.9109192,462.5,464.7000122,457.6000061,460.3999939,1700000,,,,,,,,,,,,,,,,4331393.943,119.9032288,145.1399994,145.5,141.3999939,142,4330700,12685888.09,27.33197212,40.3199997,40.5,39.97000122,39.97000122,12685700,2935880.286,38.65584183,60.86000061,61.06000137,59.65000153,60.06000137,2935600,10144946.93,20.79619598,31.74500084,31.74500084,31.31500053,31.32500076,10144800
16-02-2006,16-02-2006,16-02-2006,16-02-2006,16-02-2006,16-02-2006,11773911.13,33.04450226,44.68999863,44.72999954,44.27999878,44.38999939,11773700,31,1328113.589,361.3894043,464.3999939,464.3999939,460.3999939,463,1325900,,,,,,,,,,,,,,,,2848003.091,120.5311127,145.8999939,146.3500061,144.2100067,146.1000061,2847300,11572190,27.67090797,40.8199997,40.8199997,40.24000168,40.45000076,11572000,2645382.915,38.93531418,61.29999924,61.34999847,60.5,60.83000183,2645100,8282748.102,20.9468689,31.97500038,32,31.50499916,31.67499924,8282600
17-02-2006,17-02-2006,17-02-2006,17-02-2006,17-02-2006,17-02-2006,11939112.3,33.0223465,44.65999985,45.3199997,44.52000046,44.77999878,11938900,32,1316014.233,359.8330994,462.3999939,465.7000122,461.2999878,465,1313800,,,,,,,,,,,,,,,,2407902.244,120.2337265,145.5399933,146.2200012,144.0599976,146.1900024,2407200,11518790.3,27.64379883,40.77999878,40.8199997,40.40000153,40.65999985,11518600,3317982.544,38.6240921,60.81000137,61.34999847,60.50999832,61.25,3317700,6829148.331,20.83550453,31.80500031,32.02000046,31.69000053,31.97999954,6829000
21-02-2006,21-02-2006,21-02-2006,21-02-2006,21-02-2006,21-02-2006,10380711.54,32.94099045,44.54999924,44.83000183,44.50999832,44.70999908,10380500,33,1397806.388,359.2883911,461.7000122,463.7000122,459.7000122,462,1395600,,,,,,,,,,,,,,,,2540496.277,118.5070801,143.4499969,145.75,143.0099945,145.5599976,2539800,7324690.42,27.58955956,40.70000076,40.95000076,40.54999924,40.63000107,7324500,2772282.059,38.59869003,60.77000046,61.27999878,60.50999832,60.90000153,2772000,6424947.923,20.80274773,31.75499916,31.92000008,31.54500008,31.89999962,6424800
22-02-2006,22-02-2006,22-02-2006,22-02-2006,22-02-2006,22-02-2006,14729812.45,33.33288193,45.08000183,45.16999817,44.41999817,44.45000076,14729600,34,1517729.613,364.8135071,468.7999878,469.7999878,462.3999939,463.7999878,1515500,,,,,,,,,,,,,,,,2664897.965,120.2254486,145.5299988,145.5299988,143.2299957,143.4499969,2664200,13151592.66,28.07085419,41.40999985,41.54999924,40.74000168,40.88999939,13151400,3499784.363,39.11315918,61.58000183,61.77999878,60.93999863,60.95000076,3499500,8381549.341,21.09099197,32.1949997,32.29999924,31.85499954,31.89999962,8381400
23-02-2006,23-02-2006,23-02-2006,23-02-2006,23-02-2006,23-02-2006,17345914.81,33.54731751,45.36999893,45.70000076,45,45.18999863,17345700,35,1259738.191,364.1909485,468,471.2000122,466,468.7999878,1257500,,,,,,,,,,,,,,,,2458097.898,118.928421,143.9600067,145.6100006,143.7899933,145.6100006,2457400,8739692.807,27.86748695,41.11000061,41.5699997,41,41.25999832,8739500,2952983.329,38.64948273,60.84999847,61.5,60.83000183,61.5,2952700,8148949.696,21.09099197,32.1949997,32.40000153,31.86000061,32.15000153,8148800
24-02-2006,24-02-2006,24-02-2006,24-02-2006,24-02-2006,24-02-2006,13832615.3,33.8061142,45.72000122,45.88999939,44.93999863,44.93999863,13832400,36,1256838.58,364.5799561,468.5,470.8999939,467.2999878,467.2999878,1254600,,,,,,,,,,,,,,,,2315394.754,119.0936432,144.1600037,145.3999939,143.0500031,143.0500031,2314700,9294493.54,28.2403183,41.65999985,41.83000183,40.86999893,40.93999863,9294300,3073681.997,38.63679886,60.83000183,61.38000107,60.5,60.65000153,3073400,7995750.33,21.14995384,32.28499985,32.41500092,32.15999985,32.3199997,7995600
27-02-2006,27-02-2006,27-02-2006,27-02-2006,27-02-2006,27-02-2006,18460417.52,33.9983635,45.97999954,46,45.70000076,45.84000015,18460200,37,1013640.235,364.0352173,467.7999878,471.2999878,467.1000061,470,1011400,,,,,,,,,,,,,,,,2282896.033,118.8127594,143.8200073,145.25,143.3399963,144.8099976,2282200,8541894.816,28.18609619,41.58000183,41.95000076,41.54999924,41.54999924,8541700,3012981.9,38.57961655,60.74000168,61.15000153,60.52999878,60.90000153,3012700,6128950.294,21.12374306,32.24499893,32.47000122,32.17499924,32.27999878,6128800
28-02-2006,28-02-2006,28-02-2006,28-02-2006,28-02-2006,28-02-2006,20699217.32,33.90222168,45.84999847,46.04999924,45.75,45.77000046,20699000,38,1658922.845,360.8447266,463.7000122,469.3999939,463.1000061,465.7999878,1656700,,,,,,,,,,,,,,,,3912386.883,116.7227249,141.2899933,144.1600037,141.1100006,143.6000061,3911700,11716393.19,27.88782883,41.13999939,41.59999847,40.97000122,41.59000015,11716200,4140977.894,37.89365006,59.65999985,60.75,59.29000092,60.29999924,4140700,9832149.454,21.02876854,32.09999847,32.27000046,31.88500023,32.16999817,9832000
01-03-2006,01-03-2006,01-03-2006,01-03-2006,01-03-2006,01-03-2006,15576416.02,34.08913803,45.59999847,45.66999817,45.31000137,45.34999847,15576200,39,1008719.89,362.0897522,465.2999878,466.5,462.1000061,463.8999939,1006500,,,,,,,,,,,,,,,,2990588.689,118.2592468,143.1499939,143.7400055,141.5599976,141.9799957,2989900,10527894.08,28.21998406,41.63000107,41.93999863,41.13000107,41.15999985,10527700,2479478.112,38.19218063,60.13000107,60.40000153,59.68999863,59.70000076,2479200,8469750.304,21.18926048,32.34500122,32.38999939,32.15499878,32.22499847,8469600
